# HTTP requests sent to MediaWiki by Celery
celery	http	task:UpdateListUsersTask::updateEditInformation	0.3531	66.183 calls per minute
celery	http	task:Wikia\Tasks\Tasks\WatchlistUpdateTask::clearWatch	0.9943	186.383 calls per minute
celery	http	task:UpdateCityListTask::updateLastTimestamp	0.3933	73.717 calls per minute
celery	http	task:Wikia\Tasks\Tasks\HTMLCacheUpdateTask::purge	0.5060	94.850 calls per minute
celery	http	task:GlobalWatchlistTask::removeWatchers	1.0000	187.450 calls per minute
celery	http	task:UpdatePagesTask::insertOrUpdateEntry	0.3797	71.167 calls per minute
celery	http	task:Wikia\Tasks\Tasks\ImageReviewTask::invalidateFilePage	0.0592	11.100 calls per minute
celery	http	task:Wikia\Tasks\Tasks\MultiLookupTask::updateMultiLookup	0.3958	74.200 calls per minute
celery	http	task:Wikia\SwiftSync\ImageSyncTask::synchronize	0.0626	11.733 calls per minute
celery	http	task:GlobalWatchlistTask::addWatchers	0.1091	20.450 calls per minute
celery	http	task:Wikia\Tasks\Tasks\RefreshCategoryCountsTask::refreshCounts	0.1032	19.350 calls per minute
celery	http	task:Wikia\Tasks\Tasks\RecentChangesUpdateTask::purgeExpiredRows	0.0042	0.783 calls per minute
celery	http	task:UpdatePagesTask::deleteEntry	0.0202	3.783 calls per minute
celery	http	task:GlobalWatchlistTask::renameTitleInGlobalWatchlist	0.0086	1.617 calls per minute
celery	http	task:Wikia\Tasks\Tasks\UserRegistrationTask::callUserRegistrationHooks	0.0148	2.767 calls per minute
celery	http	task:Wikia\Tasks\Tasks\BatchRefreshLinksForTemplate::refreshTemplateLinks	0.0096	1.800 calls per minute
celery	http	task:Wikia\Tasks\Tasks\ParsoidCacheUpdateTask::onEdit	0.0160	3.000 calls per minute
celery	http	task:Wikia\Tasks\Tasks\BlockPurgeExpiredTask::purgeExpired	0.0052	0.967 calls per minute
celery	http	task:FollowEmailTask::emailFollowNotifications	0.0034	0.633 calls per minute
celery	http	task:Wikia\Tasks\Tasks\WatchlistUpdateTask::clearMessageNotification	0.0008	0.150 calls per minute
celery	http	task:Wikia\Tasks\Tasks\DismissCommunityMessageTask::dismissCommunityMessage	0.0003	0.050 calls per minute
celery	http	task:Wikia\Tasks\Tasks\ImageReviewTask::update	0.0040	0.750 calls per minute
celery	http	task:Wikia\Tasks\Tasks\CreateNewWikiTask::postCreationSetup	0.0005	0.100 calls per minute
celery	http	task:Wikia\Blogs\BlogTask::deferredPurge	0.0005	0.100 calls per minute
celery	http	task:Wikia\Tasks\Tasks\CreateNewWikiTask::maintenance	0.0007	0.133 calls per minute
celery	http	task:Wikia\Tasks\Tasks\GalleryCachePurgeTask::purge	0.0001	0.017 calls per minute
celery	http	task:UpdateListUsersTask::updateUserGroups	0.0005	0.100 calls per minute
